Shangdu,Iron; IIIAB,247000,Found,1957,http://www.lpi.usra.edu/meteor/metbull.php?code=23523,42.5,114,#c5a993
St. Genevieve County,Iron; IIIF,244500,Found,1888,http://www.lpi.usra.edu/meteor/metbull.php?code=23086,37.96667,-90.31667,#30472d
El Hammami,H5,240000,Found,1997,http://www.lpi.usra.edu/meteor/metbull.php?code=7806,23.28333,-10.81667,#c9b595
Sacramento Mountains,Iron; IIIAB,237200,Found,1890,http://www.lpi.usra.edu/meteor/metbull.php?code=22794,32.91667,-104.66667,#948673
New Concord,L6,230000,Fell,1860,http://www.lpi.usra.edu/meteor/metbull.php?code=16953,40,-81.76667,#273d28
Homestead,L5,230000,Fell,1875,http://www.lpi.usra.edu/meteor/metbull.php?code=11901,41.8,-91.86667,#677658
Muonionalusta,Iron; IVA,230000,Found,1906,http://www.lpi.usra.edu/meteor/metbull.php?code=16873,67.8,23.1,#171c1c
Alfianello,L6,228000,Fell,1883,http://www.lpi.usra.edu/meteor/metbull.php?code=466,45.26667,10.15,#555044
Bear Creek,Iron; IIIAB,227000,Found,1866,http://www.lpi.usra.edu/meteor/metbull.php?code=4982,39.6,-105.3,#5b5c4f
Holbrook,L/LL6,220000,Fell,1912,http://www.lpi.usra.edu/meteor/metbull.php?code=11894,34.9,-110.18333,#897d6b
Guixi,Iron; IIIAB,220000,Found,,http://www.lpi.usra.edu/meteor/metbull.php?code=11446,28.28333,117.18333,#445244
Acu?a,Iron; IIIAB,217700,Found,1981,http://www.lpi.usra.edu/meteor/metbull.php?code=373,29.31667,-100.96667,#6b6e57
Ssyromolotovo,Iron; IIIAB,217000,Found,1873,http://www.lpi.usra.edu/meteor/metbull.php?code=23694,58.61667,98.93333,#364d48
Chinga,Iron; ungrouped,209400,Found,1913,http://www.lpi.usra.edu/meteor/metbull.php?code=5353,51.05833,94.4,#30492c
Barratta,L4,200000,Found,1845,http://www.lpi.usra.edu/meteor/metbull.php?code=4951,-35.3,144.56667,#5f5d48
Lowell,Doubtful meteorite,200000,Fell,1846,http://www.lpi.usra.edu/meteor/metbull.php?code=14717,42.68333,-71.35,#4e5854
Saratov,L4,200000,Fell,1918,http://www.lpi.usra.edu/meteor/metbull.php?code=23176,52.55,46.55,#697467
Patos de Minas (octahedrite),Iron; IAB complex,200000,Found,1925,http://www.lpi.usra.edu/meteor/metbull.php?code=18114,-18.58333,-46.53333,#7e7d68
Kainsaz,CO3.2,200000,Fell,1937,http://www.lpi.usra.edu/meteor/metbull.php?code=12229,55.43333,53.25,#364e36
Dimmitt,H3.7,200000,Found,1942,http://www.lpi.usra.edu/meteor/metbull.php?code=7645,34.58333,-102.16667,#9f8767
